"county_code","date_id","Clinton","Trump","Stein","Johnson"
12011,1001,1.92,3.36,0.11,0.26
12013,1001,2.49,4.77,0.31,0.41
12015,1001,2.11,3.25,0.13,0.25
12017,1001,2.68,3.28,0.03,0.38
12019,1001,1.81,3.60,0.07,0.41
12021,1001,2.20,3.50,0.10,0.32
12023,1001,1.71,2.75,0.18,0.43
12027,1001,1.91,3.07,0.03,0.32
12029,1001,1.77,2.83,0.00,0.35
12031,1001,1.70,2.96,0.09,0.35
12033,1001,1.99,3.40,0.16,0.40
12035,1001,1.72,2.89,0.12,0.38
12037,1001,2.19,3.39,0.10,0.20
12039,1001,1.79,3.59,0.07,0.57
12041,1001,2.66,3.63,0.00,0.36
12043,1001,1.50,3.24,0.12,0.06
12045,1001,2.06,4.04,0.00,0.27
12047,1001,3.84,4.41,0.00,0.14
12049,1001,2.47,3.94,0.13,0.20
12051,1001,1.50,2.73,0.02,0.25
12053,1001,2.48,3.95,0.22,0.32
12055,1001,1.68,2.85,0.10,0.15
12057,1001,1.94,3.28,0.13,0.34
12059,1001,0.79,3.14,0.26,0.52
12061,1001,2.28,3.45,0.12,0.24
12063,1001,2.02,3.71,0.00,0.16
12065,1001,1.25,3.58,0.18,0.18
12067,1001,0.63,1.58,0.00,0.00
12069,1001,1.86,3.43,0.07,0.25
12071,1001,2.38,3.58,0.10,0.35
12073,1001,2.04,3.18,0.19,0.50
12075,1001,1.33,3.36,0.08,0.59
12077,1001,1.75,5.96,0.35,1.05
12079,1001,1.07,2.59,0.09,0.18
12081,1001,2.39,3.71,0.16,0.40
12083,1001,2.05,5.13,0.10,0.33
12085,1001,1.92,3.12,0.11,0.38
12086,1001,1.73,3.12,0.10,0.24
12087,1001,1.89,3.57,0.13,0.34
12089,1001,1.97,3.31,0.05,0.32
12091,1001,1.96,2.98,0.09,0.43
12093,1001,1.44,4.47,0.11,0.21
12095,1001,1.74,3.21,0.10,0.33
12097,1001,1.69,3.04,0.09,0.28
12099,1001,1.90,3.58,0.10,0.27
12101,1001,2.61,4.03,0.17,0.42
12103,1001,2.21,3.44,0.16,0.50
12105,1001,1.87,3.24,0.10,0.30
12107,1001,1.40,3.15,0.05,0.25
12109,1001,1.90,3.80,0.12,0.28
12111,1001,2.12,3.79,0.09,0.25
12113,1001,2.25,3.30,0.14,0.54
12115,1001,2.31,3.54,0.15,0.36
12117,1001,1.80,3.24,0.13,0.39
12119,1001,3.37,5.19,0.04,0.19
12121,1001,1.87,2.51,0.00,0.26
12123,1001,1.72,2.95,0.08,0.08
12125,1001,1.84,2.87,0.31,0.10
12127,1001,1.86,2.99,0.09,0.38
12129,1001,2.87,3.92,0.20,0.28
12131,1001,2.04,3.26,0.05,0.37
12133,1001,2.14,3.79,0.00,0.34
13001,1001,3.40,6.57,0.23,0.23
13003,1001,1.94,4.05,0.00,0.18
13005,1001,1.36,6.52,0.00,0.00
13007,1001,2.13,0.00,0.00,2.13
13009,1001,1.40,3.43,0.05,0.44
13011,1001,0.68,3.05,0.00,0.00
13013,1001,1.83,3.56,0.12,0.73
13015,1001,1.59,2.91,0.05,0.33
13017,1001,1.22,2.45,0.00,0.61
13019,1001,1.62,3.57,0.16,0.16
13021,1001,1.47,2.73,0.06,0.47
13023,1001,1.82,3.64,0.00,0.00
13025,1001,1.14,3.81,0.13,0.25
13027,1001,1.90,2.77,0.00,0.00
13029,1001,2.06,3.39,0.09,0.23
13031,1001,1.56,3.11,0.15,0.43
13033,1001,0.95,3.12,0.00,0.20
13035,1001,1.53,3.34,0.05,0.00
13037,1001,1.91,1.91,0.00,0.00
13039,1001,1.42,3.84,0.06,0.26
13043,1001,0.00,0.00,0.00,0.00
13045,1001,1.64,2.90,0.07,0.38
13047,1001,2.19,2.87,0.17,0.23
13049,1001,2.10,2.87,0.00,0.76
13051,1001,1.46,3.48,0.10,0.30
13053,1001,1.83,2.62,0.15,0.74
13055,1001,0.70,4.42,0.00,0.20
13057,1001,2.15,3.50,0.06,0.45
13059,1001,2.28,3.67,0.26,0.75
13061,1001,1.23,2.47,0.00,0.00
13063,1001,1.19,2.05,0.05,0.12
13065,1001,1.49,2.24,0.00,0.00
13067,1001,1.85,3.14,0.13,0.49
13069,1001,1.52,3.40,0.12,0.33
13071,1001,1.37,3.16,0.07,0.30
13073,1001,2.22,3.43,0.11,0.43
13075,1001,1.77,3.46,0.00,0.08
13077,1001,1.65,2.84,0.09,0.48
13079,1001,0.92,2.15,0.00,0.00
13081,1001,2.15,3.16,0.00,0.30
13083,1001,2.34,3.06,0.09,0.54
13085,1001,1.82,3.56,0.04,0.19
13087,1001,1.95,2.67,0.17,0.22
13089,1001,1.84,3.23,0.13,0.43
13091,1001,0.80,3.59,0.00,0.40
13093,1001,1.02,2.20,0.00,0.68
13095,1001,1.62,2.85,0.07,0.17
13097,1001,1.61,4.00,0.02,0.25
13099,1001,2.40,3.19,0.00,0.00
13101,1001,1.58,2.50,0.00,0.66
13103,1001,1.55,2.41,0.03,0.28
13105,1001,0.71,2.13,0.00,0.30
13107,1001,0.95,3.97,0.08,0.24
13109,1001,0.95,3.18,0.16,0.32
13111,1001,4.84,8.23,0.23,0.88
13113,1001,1.89,3.24,0.09,0.38
